sample_size,kmer_size,num_neighbors,accuracy
10,2.0,1.0,0.8225
10,2.0,3.0,0.7875
10,2.0,5.0,0.75625
10,2.0,7.0,0.73
10,4.0,1.0,0.88125
10,4.0,3.0,0.84375
10,4.0,5.0,0.84125
10,4.0,7.0,0.79875
10,6.0,1.0,0.89
10,6.0,3.0,0.85375
10,6.0,5.0,0.83
10,6.0,7.0,0.8125
10,8.0,1.0,0.79875
10,8.0,3.0,0.78
10,8.0,5.0,0.75
10,8.0,7.0,0.7275
30,2.0,1.0,0.82
30,2.0,3.0,0.76375
30,2.0,5.0,0.74875
30,2.0,7.0,0.7475
30,4.0,1.0,0.88375
30,4.0,3.0,0.8525
30,4.0,5.0,0.84375
30,4.0,7.0,0.83375
30,6.0,1.0,0.89625
30,6.0,3.0,0.8875
30,6.0,5.0,0.86375
30,6.0,7.0,0.8625
30,8.0,1.0,0.84375
30,8.0,3.0,0.83375
30,8.0,5.0,0.8475
30,8.0,7.0,0.84375
100,2.0,1.0,0.825
100,2.0,3.0,0.8
100,2.0,5.0,0.77875
100,2.0,7.0,0.7675
100,4.0,1.0,0.8775
100,4.0,3.0,0.8775
100,4.0,5.0,0.86625
100,4.0,7.0,0.86125
100,6.0,1.0,0.89375
100,6.0,3.0,0.8925
100,6.0,5.0,0.88875
100,6.0,7.0,0.89125
100,8.0,1.0,0.84625
100,8.0,3.0,0.85625
100,8.0,5.0,0.85625
100,8.0,7.0,0.865
